,Date,Heure,Mois,Jours,Prix
435,2024-07-19,3,July,Friday,70.62
436,2024-07-19,4,July,Friday,66.8
437,2024-07-19,5,July,Friday,75.71
438,2024-07-19,6,July,Friday,78.7
439,2024-07-19,7,July,Friday,96.94
440,2024-07-19,8,July,Friday,98.4
441,2024-07-19,9,July,Friday,81.43
442,2024-07-19,10,July,Friday,70.75
443,2024-07-19,11,July,Friday,60.77
444,2024-07-19,12,July,Friday,47.39
445,2024-07-19,13,July,Friday,40.03
446,2024-07-19,14,July,Friday,39.84
447,2024-07-19,15,July,Friday,46.02
448,2024-07-19,16,July,Friday,66.49
449,2024-07-19,17,July,Friday,78.05
450,2024-07-19,18,July,Friday,85.06
451,2024-07-19,19,July,Friday,98.1
452,2024-07-19,20,July,Friday,111.9
453,2024-07-19,21,July,Friday,121.22
454,2024-07-19,22,July,Friday,107.39
455,2024-07-19,23,July,Friday,91.88
456,2024-07-20,0,July,Saturday,95.24
457,2024-07-20,1,July,Saturday,89.74
458,2024-07-20,2,July,Saturday,86.08
459,2024-07-20,3,July,Saturday,77.73
460,2024-07-20,4,July,Saturday,78.09
461,2024-07-20,5,July,Saturday,81.83
462,2024-07-20,6,July,Saturday,76.29
463,2024-07-20,7,July,Saturday,65.6
464,2024-07-20,8,July,Saturday,67.74
465,2024-07-20,9,July,Saturday,50.0
466,2024-07-20,10,July,Saturday,9.96
467,2024-07-20,11,July,Saturday,1.57
468,2024-07-20,12,July,Saturday,0.44
469,2024-07-20,13,July,Saturday,0.0
470,2024-07-20,14,July,Saturday,-0.01
471,2024-07-20,15,July,Saturday,1.5
472,2024-07-20,16,July,Saturday,3.97
473,2024-07-20,17,July,Saturday,41.3
474,2024-07-20,18,July,Saturday,52.02
475,2024-07-20,19,July,Saturday,60.64
476,2024-07-20,20,July,Saturday,60.05
477,2024-07-20,21,July,Saturday,87.93
478,2024-07-20,22,July,Saturday,88.31
479,2024-07-20,23,July,Saturday,80.68
480,2024-07-21,0,July,Sunday,67.98
481,2024-07-21,1,July,Sunday,49.77
482,2024-07-21,2,July,Sunday,42.26
483,2024-07-21,3,July,Sunday,43.41
484,2024-07-21,4,July,Sunday,35.35
485,2024-07-21,5,July,Sunday,30.8
486,2024-07-21,6,July,Sunday,32.0
487,2024-07-21,7,July,Sunday,34.57
488,2024-07-21,8,July,Sunday,25.07
489,2024-07-21,9,July,Sunday,0.49
490,2024-07-21,10,July,Sunday,0.04
491,2024-07-21,11,July,Sunday,0.0
492,2024-07-21,12,July,Sunday,-0.01
493,2024-07-21,13,July,Sunday,-0.1
494,2024-07-21,14,July,Sunday,-0.25
495,2024-07-21,15,July,Sunday,-0.01
496,2024-07-21,16,July,Sunday,0.0
497,2024-07-21,17,July,Sunday,0.0
498,2024-07-21,18,July,Sunday,0.1
499,2024-07-21,19,July,Sunday,25.06
500,2024-07-21,20,July,Sunday,50.23
501,2024-07-21,21,July,Sunday,59.83
502,2024-07-21,22,July,Sunday,57.52
503,2024-07-21,23,July,Sunday,65.0
504,2024-07-22,0,July,Monday,52.82
505,2024-07-22,1,July,Monday,51.66
506,2024-07-22,2,July,Monday,58.84
507,2024-07-22,3,July,Monday,49.99
508,2024-07-22,4,July,Monday,48.17
509,2024-07-22,5,July,Monday,57.87
510,2024-07-22,6,July,Monday,54.0
511,2024-07-22,7,July,Monday,56.96
512,2024-07-22,8,July,Monday,68.2
513,2024-07-22,9,July,Monday,53.68
